,Atha_Ws_root_GC_Rep1,Atha_Ws_root_GC_Rep2,Atha_Ws_root_GC_Rep3,Atha_Ws_root_FLT_Rep1,Atha_Ws_root_FLT_Rep2,Atha_Ws_root_FLT_Rep3,Atha_Ws_leaf_GC_Rep1,Atha_Ws_leaf_GC_Rep2,Atha_Ws_leaf_GC_Rep3,Atha_Ws_leaf_FLT_Rep1,Atha_Ws_leaf_FLT_Rep2,Atha_Ws_leaf_FLT_Rep3
AT1G01010,754,762,816,195,139,173,777,714,881,143,205,160
AT1G01020,338,285,339,276,269,272,311,307,453,320,261,257
AT1G01030,51,46,55,254,222,172,48,80,66,164,208,126
AT1G01040,2469,2271,2874,2575,1991,2345,2105,2393,2756,1469,1874,1611
AT1G01046,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01050,2684,2546,2942,2587,2064,2137,2773,2654,3546,2051,2266,1956
AT1G01060,1221,1241,1264,18868,11217,6724,1470,1538,1197,5593,8884,7949
AT1G01070,582,647,641,533,501,616,884,820,1055,382,391,338
AT1G01080,343,384,388,3499,3344,3632,402,392,471,3369,3566,3043
AT1G01090,6365,5563,6575,7403,6549,7747,4422,5382,7632,5549,7791,5668
AT1G01100,7283,6909,7332,5645,6349,5642,5699,6485,9997.41,6397,5714,4480
AT1G01110,462,426,523,112,158,152,366,413,699,204,223,134
AT1G01120,3528,3853,3555,2559,2659,3230,2805,3302,3861,1463,1451,1022
AT1G01130,1,2,0,4,4,0,2,1,2,4,0,0
AT1G01140,120,147,132,3688,3259,3587,182,113,260,2029,3270,3060
AT1G01150,12,4,11,9,1,1,4,11,11,9,5,5
AT1G01160,905,875,897,706,672.03,705,861,925,1330,793,816,717
AT1G01170,266,221,266,1317,1662.97,1426,292,382,338,1298,1504,1397
AT1G01180,453,458,388,276,295,312,418,426,525,290,461,463
AT1G01183,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01190,1270,1270,1481,99,140,96,2463,1723,1938,151,116,96
AT1G01200,249,231,296,34,54,27,305,316,413,43,38,25
AT1G01210,730,717,711.18,721.11,664.01,816.63,673,726.04,1034.02,541,470.62,474.01
AT1G01220,1085,1064,1298,1082,949,1131,1067,1197,1538,895,1108,879
AT1G01225,360,337,378,143,143,121,322,360,467,97,144,122
AT1G01230,1213,1174,1302,730,831,900,1192,1199,1666,829,984,796
AT1G01240,603,661,684,216,457,378,744,1035,845,228,468,425
AT1G01250,8,4,12,28,28,15,12,10,4,6,16,6
AT1G01260,1012,912,1065,752,727,676,853,918,1289,474,563,516
AT1G01270,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01280,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01290,637,668,747,576,545,657,686,749,903,544,616,522
AT1G01300,3832,3953,4128,2870,3548,4045,3938,4455,5117,3298,3088,2141
AT1G01305,0,0,0,0,0,0,2,0,0,0,0,0
AT1G01310,1,5,8,5,0,0,1,5,4,11,1,12
AT1G01320,1628,1503,1918,33104,19688,22627,1435,1763,1925,15479,23203,20631
AT1G01335,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01340,919,943,1014,267,210,242,783,842,1061,202,305,374
AT1G01350,849.87,805.97,950.83,598.83,639.76,637,748,853.88,1262.97,488,546.99,479.7
AT1G01355,2,15,12,16,9,11,10,8,14,10,14,17
AT1G01360,749,770,797,402,395,351,816,956,949,429,473,359
AT1G01370,300,286,261,172,173,165,251,333,426,218,176,124
AT1G01380,72,85,71,16,15,14,85,50,131,25,10,18
AT1G01390,0,0,0,115,73,102,0,1,0,56,102,82
AT1G01400,0,1,0,0,0,0,0,0,0,0,0,0
AT1G01410,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01420,99,107,103,343,332,287,162,129,143,240,266,179
AT1G01430,1098,1110,1169,1684,1802,1850,1129,1165,1542,1351,1847,1486
AT1G01440,598,638,656,672,571,690,564,661,791,569,869,751
AT1G01448,238.66,169.95,302.54,234.52,213.06,239.31,259.18,325.62,354.94,237.67,322.96,299.73
AT1G01450,12.34,9.05,15.46,4.48,26.94,21.69,4.82,7.38,18.06,13.33,13.04,3.27
AT1G01453,150,162,185,2,0,0,218,184,299,0,2,4
AT1G01460,0,0,1,0,2,0,0,0,1,0,1,0
AT1G01470,1381,1779,1613,1258,1347,1292,1683,1563,1992,1074,1079,982
AT1G01480,300,289,290,2,0,2,248,217,362,10,8,34
AT1G01490,1488,1607,1662,2750,2815,2354,1664,1810,2037,2309,3347,2869
AT1G01500,310,336,354,357,359,599,389,327,357,301,441,301
AT1G01510,2675,2386,3003,1619,1652,1687,2516,2694,3428,1601,1856,1549
AT1G01520,15,12,22,435,195,166,14,5,2,57,103,68
AT1G01530,0,3,0,0,4,3,0,0,0,2,4,1
AT1G01540,2005,2043,2036,3665,3092,3104,1795,2023,2509,2493,3544,3023
AT1G01550,5381,6291,6050,3822,4738,3905,5670,5832,7197,3408,4640,3978
AT1G01560,43,31,22,148,171,138,20,32,22,294,363,558
AT1G01570,237,221,218,55,36,42,212,192,269,46,50,51
AT1G01580,274,271,200,92,52,92,661,241,105,47,74,79
AT1G01590,4,3,7,45,17,31,0,11,12,43,48,21
AT1G01600,274,410,303,255,344,287,263,271,485,231,249,178
AT1G01610,3870,3926,4215,3002,2675,3089,3227,3332,4750,2261,2783,2174
AT1G01620,20765,23477,22829,6151,8067,7222,23993,24152,27945,8835,9857,7420
AT1G01630,1605,1599,1580,1294,1360,1522,1343,1278,1937,1037,1099,887
AT1G01640,758,836,905,59,62,70,972,1021,1281,130,116,99
AT1G01650,1283,1140,1375,1598,1502,1456,1201,1406,1792,1456,1577,1284
AT1G01660,198,161,263,85,88,78,170,170,345,40,49,49
AT1G01670,229,249,280,208,203,267,283,271,332,154,276,154
AT1G01680,0,1,0,15,11,25,0,2,3,60,65,105
AT1G01690,370,352,405,227,238,228,331,393,555,331,323,250
AT1G01695,11,8,14,7,13,2,11,16,14,2,1,6
AT1G01700,62,44,54,38,30,45,60,43,51,44,36,28
AT1G01710,1051,1310,1287,1393,1198,1289,1218,1273,1575,957,1292,1107
AT1G01715,44,43,53,22,19,21,47,47,57,63,42,48
AT1G01720,1513,1687,1480,1754,1523,1298,1575,1388,1722,1135,1860,1436
AT1G01725,75,97,88,38,101,128,112,104,142,104,101,95
AT1G01730,573,564,680,300,308,316,621,650,827,341,329,273
AT1G01740,227,266,316,270,261,191,262,298,329,224,244,183
AT1G01750,823.93,739.08,906.1,4.31,1.05,4,625.62,555.36,1091.66,2.05,4.13,2
AT1G01760,174,143,168,114,107,134,145,145,217,102,122,114
AT1G01770,656,610,698,829,700,878,643,756,777,721,1145,998
AT1G01780,600,628,740,207,265,220,625,519,740,205,274,193
AT1G01790,1447,1293,1418,11065,6357,7349,1143.26,1258,1472,5585,8955,7571
AT1G01800,2824,3130,3174,2804,2634,2865,3012,3023,4088,2746,3311,2911
AT1G01810,21,24,21,25,23,15,13,25,27,15,22,21
AT1G01820,1399,1341,1545,917,1035,1255,1398,1631,1989,1208,1404,1010
AT1G01830,560,604,588,656,664,735,500,592,784,500,619,567
AT1G01840,35.57,28.24,43.35,4.88,26.58,13.17,26.09,23.24,47.93,19.69,10.07,27.22
AT1G01860,191,217,225.02,537,426,579,212,248.17,281,455,495,393
AT1G01870,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01880,112,75,82,116,136,113,93,85,119,144,140,127
AT1G01890,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01900,169.71,156.41,241.41,490.58,438.88,395.23,223.7,190.73,273.38,296.4,472.84,344.04
AT1G01910,2170,1978,2369,1759,1772,2071,1820,2193,2824,1737,2017,1579
AT1G01920,1117,1018,1268,494,643,600,1067,1141,1498,614,781,581
AT1G01930,645,678,676,689,571,718,560,634,791,592,745,648
AT1G01940,679,644,731,481,522,476,628,730,984,494,477,462
AT1G01950,1245,1173,1323,1034,897,987,1061,1245,1654,619,970,959
AT1G01960,6553,6066,7429,4320,4147,4804,5333,6244,8298,3392,4903,3783
AT1G01970,288,313,298,1982,1668,1925,363,356,414,1785,1565,1063
AT1G01980,0,1,0,5,1,0,0,0,1,0,0,0
AT1G01990,439,454,435,401,388,409,495,520,594,304,426,340
AT1G02000,572,613,525,536,407,416,504,494,694,291,455,353
AT1G02010,382,397,414,654,396,465,386,448,566,326,464,338
AT1G02020,264,255,325,469,346,390,214,243,329,259,431,325
AT1G02030,61,64,47,6,3,4,63,41,80,5,13,5
AT1G02040,2,3,3,0,0,0,3,0,8,0,0,0
AT1G02050,318,375,379,184,160,188,340,331,487,151,219,150
AT1G02060,474,483,487,312,281,265,402,448,703,196,300,244
AT1G02065,0,0,0,125,239,145,0,0,0,174,193,137
AT1G02067,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02070,13,10,8,2,4,9,7,17,15,0,12,11
AT1G02080,6381,6007,7621,4345,3387,4013,5445,6362,7963,2918,4840,4001
AT1G02090,1622,1535,1706,1301,1173,1260,1398,1603,2347,953,1032,870
AT1G02100,1852,1835,1913,1163,1185,1350,1954,2005,2500,1271,1815,1363
AT1G02110,1347,1288,1554,1150,1161,1165,1278,1484,2010,1045,1425,1020
AT1G02120,2558,2515,2817,2100,2072,2325,2672,2789,3070,2086,2473,2384
AT1G02130,1644,1502,1720,1149,1188,1244,1562,1575,2103,1022,1163,889
AT1G02140,3591,3468,3831,3021,2990,3197,3516,3684,5135,3162,3216,2556
AT1G02145,1034,1051,1123,599,574,623,949,1081,1362,604,687,595
AT1G02150,1356,1161,1439,5698,5069,6297,1330,1373,1844,4779,6154,4912
AT1G02160,327,315,303,192,334,292,346,350,472,308,344,195
AT1G02170,1377,1319,1407,1067,1008,1167,1227,1361,1796,904,1572,1333
AT1G02180,76,98,102,109,145,111,112,126,161,138,113,113
AT1G02190,1,0,0,25,23,26,0,0,1,30,28,19
AT1G02205,666,754,684,798,779,710,627,461,843,743,861,505
AT1G02210,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02220,400,365,476,22,13,35,401,565,600,34,73,76
AT1G02230,57,51,63,16,26,13,55,55,78,63,89,122
AT1G02250,9,9,5,0,0,1,0,1,7,0,3,0
AT1G02260,164,151,165,97,130,103,142,140,190,106,122,121
AT1G02270,452,451,529,593,521,680,514,503,610,407,489,503
AT1G02280,1529,1405,1722,4465,4679,4906,1583,1711,1980,4636,4913,4201
AT1G02290,405,417,489,329,374,419,469,452,594,322,409,281
AT1G02300,341,352,421,583,827,1046,373,567,490,849,1269,922
AT1G02305,2367,2528,2541,1714,1893,2207,2678,2958,3224,1845,2402,2105
AT1G02310,182,271,165,1,2,2,193.4,200,290,0,2,1
AT1G02320,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02330,686,687,803,436,417,433,793,731,1015,476,550,423
AT1G02335,445,525,555,174,189,179,516,667,773,176,192,190
AT1G02340,124,119,102,32,35,55,132,116,101,16,64,47
AT1G02350,12,2,12,10,5,21,2,10,17,10,13,16
AT1G02360,679,757,763,15,3,2,618,663,994,35,40,65
AT1G02370,499,411,537,252,327,389,350,457,679,312,295,230
AT1G02380,51,45,98,84,104,73,126,101,97,71,82,62
AT1G02390,95,149,122,10,21,12,67,76,119,14,6,18
AT1G02400,387,533,395,130,152,59,428,399,437,87,143,200
AT1G02405,9,3,3,3,6,9,5,0,6,9,16,6
AT1G02410,859,837,976,986,932,878,937,943,1244,886,900,840
AT1G02420,68.28,53.13,72.56,47.9,26.08,47.78,58.67,58.74,105.34,28.06,35.72,48.43
AT1G02430,75.01,62.88,81.26,2.08,3,3.16,66.39,62.75,91.89,16.69,3,11.05
AT1G02440,10,20.36,14,5,2,8,5,1,17,23,6,12
AT1G02450,13,17,14,14,14,14,18,26,18,197,100,128
AT1G02460,178,164,187,68,68,45,190,168,175,54,37,30
AT1G02470,8,29,17,23,30,40,8,13,14,19,21,53
AT1G02475,219,189,229,2531,2340,2662,246,297,297,2189,2635,2113
AT1G02480,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02490,0,4,1,2,0,0,1,1,3,2,0,2
AT1G02500,27483,29121,29826,11401,11447,11987,27321,25993,38371,10493,15308,13018
AT1G02510,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02520,668,548,730,19,24,16,458,701,902,26,44,15
AT1G02530,76,92,113,10,9,15,95,154,202,35,35,11
AT1G02540,1,0,0,0,0,0,0,0,0,0,0,0
AT1G02550,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02560,2525,2294,2697,12830,10928,13194,2297,2466,3549,11449,13449,10714
AT1G02570,139,129,151,2,0,0,148,86,199,0,0,2
AT1G02575,35,47,57,0,0,0,35,27,50,0,1,0
AT1G02580,1,0,6,4,1,0,0,1,3,2,2,7
AT1G02590,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02600,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02610,52,45,68,50,50,41,50,44,48,38,324,355
AT1G02620,0,0,1,2,5,4,2,2,1,0,10,7
AT1G02630,3,5,0,19,35,31,1,6,4,28,52,27
AT1G02640,1490,1933,1790,1095,1572,1092,2112,4092,3845,1359,2805,2765
AT1G02650,31,27,39,60,53,33,16,23,42,33,131,75
AT1G02660,382,470,306,466,1097,616,366,272,379,722,2466,3115
AT1G02670,157,153,176,62,93,106,110,153,192,97,125,81
AT1G02680,306,279,277,234,205,230,266,290,413,235,257,267
AT1G02690,2197,1852,2219,777,913,760,1689,1972,2849,871,749,554
AT1G02700,22,29,13,38,32,25,26,13,11,15,32,8
AT1G02705,6.72,5,7.91,12.74,14.2,7.82,2.13,1,6.82,11,10.73,13.8
AT1G02710,0.28,0,2.09,1.26,6.8,3.18,0.87,0,1.18,0,2.27,6.2
AT1G02720,955,899,1048,548,476,553.11,759,814,1210,384,527,442
AT1G02730,3264,3181,3464,2889,2818,2435,2557,3239,4071,2959,2937,2202
AT1G02740,368,349,378,225,276,297,407,368,506,264,293,268
AT1G02750,313,343,342,436,442,325,331,348,410,400,528,485
AT1G02760,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02770,9,9,20,32,34,42,13,20,32,33,23,35
AT1G02780,33563,29643,34267,23825,25381,23819,25856,29297,47546,25501,24573,19676
AT1G02790,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02800,1,6,9,318,327,315,1,3,15,433,353,278
AT1G02810,2402,3310,2370,47,90,44,2076,2097,2681,83,49,67
AT1G02813,2,8,11,0,0,0,1,3,8,0,0,0
AT1G02816,863,785,739,769,668,660,835,765,1052,524,639,527
AT1G02820,8,12,4,1265,479,694,5,11,3,88,125,102
AT1G02830,0,0,0,0,2,1,0,0,0,0,0,0
AT1G02840,6556,6046,6833,4255,4243,4443,5918,6452,8117,3930,4667,3827
AT1G02850,457,393,445,255,176,334,472,546,697,217,322,526
AT1G02860,817,882,881,273,275,294,874,1208,1196,345,403,364
AT1G02870,868,702,911,381,472,503,709,759,1198,482,499,358
AT1G02880,811,774,749,392,332,348,640,674,909,288,310.54,267
AT1G02890,4384,4327,5005,3579,2841,3565,4127,4688,5632,2774,4328,3432
AT1G02900,2959,3515,3396,29,71,79,3658,3544,4438,122,118,98
AT1G02910,450,422,540,3021,2200,2718,525,565,649,2429,3112,2347
AT1G02920,1084,1039,974,1013.36,918,831.99,1120,1358.51,1535,1979.36,2275.92,4168.96
AT1G02930,672,731,749,1772.64,1778,1415.01,720,940.49,1085,3715.64,3578.08,6366.04
AT1G02940,0,6,1,7,11,7,1,2,1,13,14,12
AT1G02950,307,304,332,67,38,39,248,247,378,33,65,27
AT1G02952,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02960,722,719,887,516,518,566,761,840,910,503,592,460
AT1G02965,0,0,1,0,0,0,0,0,0,0,0,0
AT1G02970,289,268,341,192,201,182,271,288,414,235,237,166
AT1G02980,12,19,23,1,0,3,20,26,37,0,0,0
AT1G02990,1042,970,1086,747,737,797,865,973,1249,536,785,668
AT1G03000,1165,1170,1300,1243,1198,1432,1078,1294,1414,1108,1603,1205
AT1G03010,258,282,289,81,103,55,335,201,348,86,118,63
AT1G03020,1,1,4,5,12,6,1,3,3,7,4,3
AT1G03030,657,586,721,600,706,718,644,741,897,644,696,580
AT1G03040,1496,1452,1714,1377,1271,1305,1503,1892,2001,1233,1351,1131
AT1G03050,0,0,1,0,0,0,0,0,0,0,1,0
AT1G03055,13,10,8,337,259,180,7,11,11,111,181,144
AT1G03060,4241,4017,4865,3142,2236,2442,3530,3956,5059,1853,2709,2103
AT1G03070,58,52,69,14,15,14,67,63,83,4,10,3
AT1G03080,5985,5692,6432,3341,2695,2997,4865,5328,7241,2184,2872,2318
AT1G03090,1098.95,1107,1292,873,1001,1005,1258,1367.96,1558,931,1765,1975
AT1G03100,271.05,225,260,149,137,185,146,226.04,375,168,202,122
AT1G03103,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03106,15,15,15,0,2,2,16,17,23,4,3,7
AT1G03110,1047,882,1064,687,773,740,774,914,1527,701,725,608
AT1G03120,3,12,6,11,9,12,9,8,13,9,27,12
AT1G03130,192,226,242,27272,30524,28995,329,680,474,13974,34254,27809
AT1G03140,2290,2271,2611,1615,1759,1835,2373,2643,3413,1756,2449,2084
AT1G03150,609,637,696,454,482,505,513,633,868,452,480,398
AT1G03160,623,572,701,2613,1941,2717,493,616,779,1980,2459,1845
AT1G03165,0,0,0,0,0,1,0,0,0,0,0,0
AT1G03170,35,36,39,74,58,70,30,25,53,52,43,32
AT1G03180,250,264,286,104,111,117,235,231,366,147,143,105
AT1G03190,614,593,705,452,412,439,512,639,787,368,499,373
AT1G03200,23,14,29,5,5,3,17,27,26,8,5,11
AT1G03210,1466,1448,1597,367,375,428,1350,1467,1910,510,544,544
AT1G03220,10596.57,11315.81,12201.79,1583,2128.64,1200,10608.83,11148.82,14164.31,1717,2603.91,2955
AT1G03230,2891.43,2557.19,3203.21,951,1178.36,984,2087.17,2347.18,4148.69,1125,1479.09,1519
AT1G03240,1,3,4,0,0,0,0,3,1,0,1,0
AT1G03250,764,677,865,947,891,966,657,689,974,740,738,621
AT1G03260,425,347,433,314,361,342,429,381,553,362,387,362
AT1G03270,233,180,198,181,152,206,125,176,289,145,172,126
AT1G03280,1729,1642,1918.82,1363,1172,1355,1570,1722,2269,1230,1373,1136
AT1G03290,1785,1823,2020,1247.94,1084,1305.73,1700,1912,2461,1228,1822.06,1725
AT1G03300,0,0,0,55.06,0,51.27,0,0,0,0,11.94,0
AT1G03310,717,719,884,3488,3171,4147,933,891,1018,2167,2530,1780
AT1G03320,0,5,0,11,10,5,0,0,0,3,7,1
AT1G03325,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03330,859,798,818,578,650,662,701,764,1092,650,683,593
AT1G03340,88,85,106,63,42,81,95,119,128,36,37,32
AT1G03350,2092,1906,2068,1373,1399,1581,1741,1906,2542,1193,1504,1183
AT1G03360,674,589,766,479,454,537,543,682,1031,469,480,406
AT1G03365,773,622,865,805,633,748,629,788,1052,590,873,743
AT1G03370,1867,1886,2062,1339,1116,1258,1639,1906,2326,1184,1590,1444
AT1G03380,2745.99,2669,3286,2011,1429,1974,2916,2927,3219.76,1482,2172,1642
AT1G03390,2.01,0,0,5,0,1,1,3,2.24,0,1,1
AT1G03395,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03400,54,52,60,796,651,679,53,93,76,751,1482,1349
AT1G03410,126,186,136.51,284,218.31,298.4,153,183.34,244.12,211.46,271.18,205.33
AT1G03430,553,546,633,416,509,553,595,532,663,485,543,505
AT1G03440,260,270,267,827,668,664,250,266,267,328,538,487
AT1G03445,39,41,48,33,21,12,43,28,34,16,15,31
AT1G03457,740,733,767,377,357,360,626,675,849,360,353,314
AT1G03470,243,258,247,223,210,189,217,281,358,291,262,229
AT1G03475,1341,1255,1548,9680,8792,9799,1286,1467,1819,9933,11559,9425
AT1G03490,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03495,213.61,230.7,243.77,229.13,229.38,185.81,223.43,302.38,259.38,231.86,176.51,132.76
AT1G03502,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03506,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03510,44,72,66,72,119,92,63,61,99,78,84,86
AT1G03515,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03520,432,480,471,349,373,326,416,415,524,301,459,442
AT1G03530,1396,1049,1313,758,688,847,878,1059,1713,549,672,535
AT1G03540,81,78,110,66,52,61,42,66,116,46,76,43
AT1G03545,71.45,95.71,71.37,62.01,47,43,70.37,101.45,76.83,49.35,33,50
AT1G03550,611.55,561.29,664.63,123.99,143,147,660.63,588.55,709.17,146.65,167,116
AT1G03560,566,492,525,436,412,454,479,522,654,316,397,301
AT1G03570,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03590,1186,1092,1134,789,746,731,809,985,1296,738,1276,1076
AT1G03600,192,200,306,15249,14256,14020,318,476,321,9709,14001,11501
AT1G03610,512,520,601,745,820,729,589,721,739,857,1851,2151
AT1G03620,277,297,365,55,81,75,387,563,381,115,124,75
AT1G03630,135,119,213,9239,7300,8567,165,203,166,6292,8344,7018
AT1G03640,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03650,109,123,102,75,101,95,116,126,159,169,121,115
AT1G03660,53,29,42,30,11,11,25,31,50,45,34,26
AT1G03670,0,0,1,0,0,0,0,0,3,0,0,0
AT1G03680,477,447,514,10569.14,9769,10433,487,525,620,8662,10001,7876
AT1G03687,581,576,685,656,631,661,578,616,873,593,597,516
AT1G03700,202,174,166,0,0,1,158,126,184,0,1,0
AT1G03710,10,13,17,32,65,46,29,8,18,58,62,46
AT1G03720,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03730,546,747,562,208,449,182,644,505,704,342,390,323
AT1G03740,1649,1780,1793,787,949,1126,1624,1668,2129,917,1465,1581
AT1G03743,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03746,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03750,400,436,446,242,176,208,395,417,511,186,275,225
AT1G03760,404,386,430,216,219,276,407,422,544,237,323,267
AT1G03770,612,594,686,189,218,243,577,551,917,255,335,300
AT1G03780,853,842,882,682,631,428,628,762,1142,670,698,578
AT1G03790,11,4,11,0,0,0,27,21,25,0,0,3
AT1G03800,21,14,18,32,37,13,28,10,43,13,22,38
AT1G03810,1,0,0,0,0,0,0,0,5,0,0,0
AT1G03820,1800,2147,2207,151,145,195,2443,2599,2771,231,178,135
AT1G03830,1062,937,1131,490,504,627,854,1047,1472,506,631,467
AT1G03840,794,690,827,28,17,17,537,586,987,27,21,16
AT1G03850,562,488,561,53,73,27,634,612,667,117,400,621
AT1G03860,4003,3611,4366,2944,2701,3313,3186,3739,5581,2969,3476,2920
AT1G03870,6983,6225,6370,7265,7068,7718,5439,5341,7767,6782,8147,6180
AT1G03880,0,0,2,0,0,0,1,3,4,0,0,0
AT1G03890,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03900,4783,4846,5179,2378,2499,2935,5143,5343,6651,2386,3243,2701
AT1G03905,439,435,464,81,60,47,452,365,497,76,50,57
AT1G03910,2737,2535,2978,2016,1773,1963,2162,2631,3772,1500,1961,1669
AT1G03920,455,488,578,33,28,35,400,376,467,31,38,45
AT1G03930,945,1013,1056,1303,1181,1173,882,1052,1235,963,1251,919
AT1G03935,0,0,0,0,0,0,0,0,1,0,0,0
AT1G03940,231.39,361.3,330.23,299.87,215.62,236.19,231.57,373.62,378.62,307.14,150.49,141.24
AT1G03950,328,365,385,274,244,282,344,383,419,204,291,294
AT1G03960,530,488,624,339,306,381,455,527,659,341,362,276
AT1G03970,620.93,716.89,659.98,407.14,662.39,547.81,674.63,730.24,816.63,458.08,648.89,604.14
AT1G03980,65,81,68,9,10,16,41,89,88,17,9,13
AT1G03982,0,0,0,0,0,0,0,1,0,0,0,0
AT1G03987,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03990,116,95,134,77,39,75,124,123,149,46,83,60
AT1G03993,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03997,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04000,353,414,386,436,475,368,398,372,422,251,287,257
AT1G04003,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04007,8,10,12,2,9,10,10,11,13,7,4,6
AT1G04010,821,762,894,341,346,391,775,817,1065,413,343,360
AT1G04013,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04017,0,0,3.84,0.89,0,0.4,0,0,0,0,0,0
AT1G04020,696,651,802,543,508,461,574,671,949,487,556,403
AT1G04023,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04027,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04030,630.09,663.15,642.11,141.03,116.01,133.02,616.08,548.08,801.23,192.02,183.01,144.04
AT1G04033,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04037,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04040,6345.91,6519.85,6206.89,2848.97,3605.99,5173.98,5063.92,5913.92,8170.77,4141.98,4437.99,3725.96
AT1G04043,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04047,1,3,4,1,3,2,3,4,4,2,4,1
AT1G04050,408,397,509,155,158,159,382,480,580,200,178,136
AT1G04053,28.07,19.92,23.9,9.69,20.95,4,35.38,15.64,48.34,8.95,14.87,7
AT1G04057,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04063,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04067,4.43,1.76,6.65,9.12,5.42,9.83,7.91,11.59,8.07,11.31,7.93,0.78
AT1G04070,315,235,355,148,160,175,251,320,448,166,150,99
AT1G04073,0,0,0.98,0,0,0,0,0,0,0,0,0
AT1G04077,36.29,37.59,46.59,130.42,136.12,107.77,103.3,54.27,48.62,126.6,172.16,138.96
AT1G04080,4538,4121,4833,4128,3504,3886,3632,4280,5746,3279,4318,3404
AT1G04083,0,1,0,0,0,0,0,0,0,0,1,0
AT1G04087,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04090,85,63,65,58,20,38,60,70,73,27,30,26
AT1G04093,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04097,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04100,261,289,253,110,145,165,273,286,329,92,162,144
AT1G04103,10,10,6,0,0,0,6.6,6,0,0,0,0
AT1G04105,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04110,0,4,4,502,441,431,1,1,3,322,439,303
AT1G04117,147.71,113.63,138.18,106.02,119.92,131.06,127.94,118.5,185.77,112.26,110.28,101.77
AT1G04120,8371,7655,9417,5124,3981,4384,6708,7745,10353,3223,3770,3093
AT1G04123,0,0,1,0,0,0,0,0,0,0,0,0.75
AT1G04127,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04130,597,512,568,633,424,591,461,507,766,369,407,313
AT1G04133,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04137,0,2,0,0,0,0,1,0,2,0,0,0
AT1G04140,5656,5446,6314,3677,3279,3974,5072,5637,7352,2889,4239,3485
AT1G04143,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04147,0,0,0,0,0,0,1,2,3,0,0,0
AT1G04150,93,81,103,14,14,9,26,55,133,17,8,9
AT1G04153,7,3,8,2,4,5,5,4,8,5,3,1
AT1G04157,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04160,1173,967,1204,533,436,501,790,814,1424,340,488,360
AT1G04163,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04167,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04170,5803,4718,5975,4510,4160,5041,4471,5096,7623,4237,4575,3604
AT1G04173,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04177,0,0,0,0,0,0,0,0,0,0,0,0
AT1G04180,633,958,665,8,12,15,599,474,874,3,5,1
AT1G04183,0,0,7.49,0,26.69,33.6,0,32.66,3.88,9.54,26.82,15.67
